"I0","PA500","HFS","DA","Area","ADA","MaxIP","DR","P","Class"
2100,0.121649,NA,450.551667,35671.60629,79.173176,436.09964,NA,2461.450497,"adi"
485.668806,0.230209,NA,253.893699,NA,32.044783,64.855446,NA,NA,"car"
370.395725,0.10472,0,115.923253,NA,11.284366,31.367031,NA,365.977651,"mas"
2000,0.067195,NA,NA,NA,46.571051,169.197983,NA,NA,"adi"
362.831266,0.200713,NA,NA,NA,26.342127,69.389389,NA,NA,"car"
650,0.041015,0.145211,NA,427.534068,1.971918,33.765163,214.165979,528.699233,"con"
200,0.037699,0.117286,42.316675,NA,5.218059,10.675764,NA,NA,"fad"
300,0.190066,NA,97.10813,NA,31.300791,51.353973,NA,NA,"car"
310,0.174707,0.165457,98.509961,2741.032044,27.824923,49.327862,NA,388.977808,"mas"
1647.939811,0.080983,NA,576.770376,11852.48506,20.549747,111.435913,NA,NA,"con"
1084.247037,0.073478,0,NA,NA,15.310072,66.563629,179.983631,1064.103828,"con"
145,0.117635,NA,21.218942,82.455562,3.885941,20.303082,6.166715,162.510927,"gla"
2600,0.200538,0.208043,NA,174480.4762,164.071543,418.687286,NA,2664.583623,"adi"
1850,0.079149,0.06947,253.621455,13113.20309,51.70384,160.06546,NA,NA,"adi"
1111.814068,0.098786,NA,NA,7659.742134,19.793275,86.025124,NA,990.978913,"con"
390,0.358316,NA,NA,NA,40.929612,70.324783,236.49017,477.54836,"car"
294.474846,0.206647,NA,194.871035,NA,28.435504,36.765797,191.80489,445.513299,"car"
303,0.063355,NA,22.567893,102.500309,4.541864,21.830841,5.720501,NA,"gla"
1800,0.091979,NA,362.863321,NA,41.397278,217.833969,290.20364,1893.663712,"adi"
223,0.124093,0.079587,NA,NA,5.9527,30.454874,12.95639,NA,"gla"
260.277521,0.079063,0.032812,NA,277.259034,4.713878,17.86867,NA,NA,"mas"
410,0.317824,0.297404,NA,10622.54711,41.524303,67.523209,246.742826,NA,"car"
1461.750342,0.040841,0.049567,391.846023,NA,14.224982,57.23148,NA,1428.839976,"con"
160.322452,0.176976,0.163363,37.217124,341.881462,9.186133,30.889164,NA,187.566518,"fad"
2600,0.069988,NA,NA,NA,53.450226,154.122604,729.368395,2545.419744,"adi"
216.413257,0.11781,0.068417,NA,280.445487,5.232231,22.790535,NA,NA,"gla"
211,0.053931,0.094248,NA,151.984578,4.942034,14.268374,27.243124,NA,"fad"
438.780157,0.212407,NA,NA,4879.495576,40.359232,80.791779,NA,525.420149,"car"
250,0.047124,0.013963,NA,NA,3.161122,9.102176,70.3204,NA,"mas"
301.304399,0.109781,0.035605,NA,942.773191,14.590353,29.045677,NA,NA,"fad"
103,0.158127,NA,23.754811,78.258474,3.294426,22.323603,NA,124.978561,"gla"
1850,0.073304,0.225497,325.191542,NA,26.584284,208.739975,NA,NA,"adi"
178,0.170868,NA,NA,489.44052,11.781776,35.747795,NA,215.905934,"mas"
172.515797,0.127235,NA,NA,NA,5.119855,19.322081,32.189821,174.93377,"mas"
352.656447,0.121999,0.090757,68.527846,NA,15.558024,43.691925,NA,382.733186,"fad"
691.972031,0.026005,0.086568,190.676692,304.270718,1.595742,23.975718,189.163331,NA,"con"
252,0.106116,0.031416,NA,NA,12.811014,25.541145,28.86704,280.658299,"mas"
770,0.041628,NA,175.019684,346.091312,1.977442,25.22233,NA,NA,"con"
2000,0.106989,NA,NA,NA,77.059161,204.090347,478.517223,NA,"adi"
1900,0.054454,0.113795,NA,7481.59347,27.443502,138.359268,NA,1924.517895,"adi"
1949.118155,0.051798,0.016501,NA,NA,18.857799,101.455849,136.819329,NA,"adi"
281.323263,0.232303,NA,157.884181,5305.123206,33.60136,46.384335,150.916892,398.895549,"mas"
1724.089894,0.052709,-0.020944,404.126208,NA,7.556963,71.427589,399.194244,NA,"con"
500,0.192684,NA,NA,NA,21.114403,96.56337,NA,542.897089,"car"
269.495946,0.20752,0.038397,80.411085,1963.605248,24.419584,44.740154,NA,NA,"car"
1666.148786,0.012392,0.058451,NA,NA,19.226813,51.854767,58.595763,1746.577504,"adi"
197,0.132645,0.074002,33.460653,409.647141,12.242652,26.992807,19.773813,231.783788,"gla"
155,0.172788,0.118682,38.940168,415.111601,10.660242,25.836502,29.134376,184.817041,"fad"
144,0.120602,0.046077,NA,70.426239,3.584458,18.131014,NA,NA,"fad"
391,0.058119,0.01117,35.780061,NA,7.410546,22.131472,28.114244,NA,"gla"
470,0.213105,0.225497,NA,NA,44.343455,84.482483,164.122511,NA,"car"
178,0.149575,0.099135,NA,NA,11.774569,25.920828,NA,209.180738,"gla"
195,0.139103,0.205251,NA,NA,8.765745,35.023827,13.29465,232.587628,"mas"
196.856714,0.020071,NA,NA,82.058889,2.869882,7.968783,NA,NA,"fad"
272,0.091455,NA,NA,NA,11.270627,20.085556,60.690729,NA,"fad"
2100,0.061959,-0.045379,NA,16640.72362,42.615798,125.900413,NA,NA,"adi"
435.093167,0.076969,NA,123.597538,1342.277648,10.860068,37.384724,117.808038,NA,"mas"
366.942379,0.280125,NA,172.745554,7064.815909,40.897237,75.604324,155.322285,NA,"car"
339.508548,0.045379,0.03002,88.629809,NA,3.735542,19.825581,NA,307.793194,"mas"
196.364864,0.182911,0.142419,54.58308,843.262528,15.449156,34.149414,42.580865,NA,"mas"
1496.736054,0.103847,0.08238,640.27595,NA,17.29254,108.286919,631.052482,NA,"con"
470.51642,0.127409,NA,NA,NA,17.692978,47.560631,142.496468,491.472488,"gla"
1600,0.071908,NA,436.943603,NA,28.963331,103.732704,NA,1475.371534,"adi"
502,0.065275,NA,NA,834.27273,15.670203,33.331142,41.514722,NA,"gla"
380,0.240855,NA,137.640111,5402.17118,39.248524,88.758446,105.198568,493.701814,"car"
330,0.226893,NA,121.154201,3163.239472,26.109202,69.717361,NA,400.225776,"car"
355,0.064054,NA,89.558463,1033.854245,11.543903,27.562662,86.576561,NA,"fad"
2329.840138,0.066148,NA,377.253368,NA,67.246689,336.075165,171.387227,2686.435346,"adi"
423,0.219562,NA,NA,NA,35.435762,79.056351,NA,NA,"car"
2800,0.083078,NA,583.259257,31388.65288,53.815953,298.582977,501.038494,2896.582483,"adi"
1385.664721,0.092328,NA,NA,NA,43.387134,143.092194,NA,1524.609204,"con"
